StudentID,StudentName,StudentPass,GradeLevel,CurrentSubjects,Curriculum,Notes
38ef1453-8bef-4bac-aabd-a7fe803edb25,Wilfred Yokley,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,
ef48b254-6c48-4571-8dcf-c24ff1497936,Susanne Woller,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,utMauris.txt
b87f6fdc-e266-497b-a3fc-809c97a4236a,Ashla Abeles,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,turpis.txt
59c0d485-225e-4211-9476-91aaf9542570,Denis Aurelius,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,pedeLobortisLigula.txt
e6c26216-cd86-4259-9753-09676b824304,Bernie Vautier,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,
f7753be3-16ec-402e-ab04-562b71e150b7,Aksel Sawers,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,lacinia.txt
f07a2726-b90c-45e8-ac1a-49bd8aaf9e1c,Jdavie Buss,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,
771f4fe5-7e48-4078-9def-e0b8cef5f6c4,Hillyer Reburn,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,
3783da76-4c64-4769-b95d-05febd5a0539,Opalina Greenacre,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,inMagna.txt
f7205134-7685-4ac1-b6d5-23b6a7a7c698,Jillian Pitbladdo,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,donecDiam.txt
4a0f525a-8832-4b40-bf8e-f971c6a4520e,Olia Levington,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,ipsum.txt
5e217ca2-c945-4703-8f45-cf25c05f2626,Skippy McGerr,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,integerAliquetMassa.txt
827122c0-ed5c-4ac9-8ca6-f0d35ea4a8ab,Cecilius Ollivierre,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,
927436d1-7b83-41c2-a5af-78a763c52702,Dione Fenne,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,amet.txt
227ff5ef-7e3f-40d5-ac56-e0b1c14cb34d,Inge Rozycki,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,semperSapienA.txt
30f560b0-4e47-4631-85f5-8921bbec8115,Donnajean Druhan,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,purusAliquet.txt
a58ec541-ef46-4845-a8f6-2dd5fd68b53f,Kippar O'Nowlan,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,
0d811be9-e26b-4d8d-8dc9-0b0d057c506b,Arabela Poulsum,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,magna.txt
97b747e5-1f1e-4642-9961-9768bdd77ef6,Ansell Rosenfrucht,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,velit.txt
1d92d9be-722f-4814-b7ba-b4558b1ffb33,Hyatt Spinetti,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,neque.txt
661db206-61f3-420d-bc9f-bc547ead6ae5,Jayne Keepe,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,placeratAnte.txt
0a8559b0-2382-4cd6-be1c-9cbc3fb0abf8,Zolly Laffling,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,
06d457e1-d629-448f-a91c-74cd72c587f1,Virginie Heyworth,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,namDuiProin.txt
da85fd78-5c5d-484a-a1ee-24c75983e1e8,Orrin Southcott,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,ipsumDolorSit.txt
c3963f90-fd24-4528-9a48-e5f675275e33,Merrie Glidder,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,adipiscingElit.txt
e3fad187-6bf6-4caf-9a44-ffe41b382b04,Jeanette Olding,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,neque.txt
c638d92b-d416-4d82-ae6a-c52fc23adcf3,Bevin Fermoy,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,mi.txt
ba43c470-e98e-4281-9b41-d337e04d5723,Chantalle Cakebread,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,iaculisCongueVivamus.txt
9d409389-6419-4ab3-a401-e975350b48a9,Ruddie Popov,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,lacus.txt
e4ecfc33-e8d2-4ad9-ae65-cd973f78d4c2,Isabeau Southcomb,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,portaVolutpat.txt
d3c1c7ae-ebd6-4bd2-9e06-751bb3e5abae,Juli Pochon,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,quisTortor.txt
093d44f1-d574-40ad-ac09-c73960defa07,Chantal Bellard,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,
b6b6dca6-c36d-492e-97a3-c5e167f9ce46,Torrence Gricewood,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,bibendumMorbiNon.txt
587c16e5-7f12-4dc2-a801-3774ce822edb,Barry Wyllt,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,donec.txt
b88a95e9-7c39-4574-9cfe-8fa4ad8cebfe,Kalinda Tumber,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,elementumLigula.txt
faadb2c1-a96d-470a-90c2-9c08cbaa4d5a,Shalom Mc Caughen,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,maurisSit.txt
088a0300-3d7a-4634-b101-0571b8be7211,Randell Pillans,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,condimentumNeque.txt
c2712f9d-de15-40ec-8d76-79e84d76b273,Temp Girardey,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,quis.txt
50515dec-0699-4783-9d88-7a7c1a837e68,Patti Eldered,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,lectusSuspendisse.txt
2aca35fd-c576-4e77-9a57-31d37062b709,Ximenez Huguenet,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,
97ef7be2-0977-4038-8156-4b197aa05ed9,Woody Boxhill,pass,1,"Patriotism and citizenship, substance abuse,Traffic safety (including bike safety),Fire safety,Arithmetic,Reading,Spelling,Writing,English,Geography,U.S. history,Science,Health,Music,Visual arts,Physical education",CCSS,namCongueRisus.txt
